result_id,paper_id,paper_title,year,dataset_guess,metric_guess,value_guess,value_numeric,value_scale_guess,condition_guess,model_guess,evidence_anchor,raw_text,confidence
R00037,P079,Unknown,Unknown,unknown,accuracy,99.68,99.68,decimal,unknown,unknown,P079_C450,"the ﬁnal epoch, validation accuracy was 99.68% and the training loss was almost nil.",medium
R00038,P079,Unknown,Unknown,unknown,accuracy,83.01,83.01,decimal,unknown,unknown,P079_C452,"In Fig. 8, for ResNet152V2, the training accuracy was 83.01% in the ﬁrst epoch and subsequently",medium
R00039,P079,Unknown,Unknown,unknown,accuracy,88.72,88.72,decimal,unknown,unknown,P079_C453,"increased with each epoch. The model’s validation accuracy was 88.72%, and it continued to rise until",medium
R00040,P079,Unknown,Unknown,unknown,accuracy,0.9,0.9,decimal,unknown,unknown,P079_C454,"the ﬁnal epoch. After 10 epochs, the training loss was 0.9% and the validation accuracy was 98.94%. In",medium
R00041,P079,Unknown,Unknown,unknown,accuracy,98.94,98.94,decimal,unknown,unknown,P079_C454,"the ﬁnal epoch. After 10 epochs, the training loss was 0.9% and the validation accuracy was 98.94%. In",medium
R00042,P079,Unknown,Unknown,unknown,accuracy,99.19,99.19,decimal,unknown,unknown,P079_C455,"the ﬁnal epoch, validation accuracy was 99.19% and the training loss was almost nil.",medium
R00043,P079,Unknown,Unknown,unknown,accuracy,99.87,99.87,decimal,unknown,unknown,P079_C463,The accuracy of the proposed model (InceptionResNetV2) was 99.87%. The training loss in the ﬁnal,medium
R00044,P079,Unknown,Unknown,unknown,accuracy,90.22,90.22,decimal,unknown,unknown,P079_C464,deepfake images with 90.22% accuracy. The accuracy of the study [23] is not high enough to be a stable,medium
R00045,P079,Unknown,Unknown,unknown,accuracy,91.56,91.56,decimal,unknown,unknown,P079_C472,"achieved an accuracy of 91.56%. But the learning rate used in this research is 0.00001, which is very low",medium
R00046,P079,Unknown,Unknown,unknown,accuracy,97.83,97.83,decimal,unknown,unknown,P079_C473,"to detect deepfake images with an accuracy achieved of 97.83%, which is good, but the model proposed",medium
R00047,P079,Unknown,Unknown,unknown,accuracy,99.87,99.87,decimal,unknown,unknown,P079_C475,is exclusively present in this research paper. The proposed system provides 99.87% accuracy in detecting,medium
R00048,P080,Unknown,Unknown,unknown,accuracy,6.76,6.76,decimal,unknown,unknown,P080_C529,proves about 6.76% of the accuracy. Multi-view attention,medium
R00049,P080,Unknown,Unknown,unknown,accuracy,68.53,68.53,decimal,unknown,unknown,P080_C531,improves the accuracy up to 68.53%. The results of our ab-,medium
R00050,P081,Unknown,Unknown,unknown,accuracy,59.53,59.53,decimal,unknown,unknown,P081_C616,"attacks and a 59.53% accuracy under combination attack,",medium
R00051,P007,Unknown,Unknown,unknown,AP,100.0,100.0,decimal,unknown,unknown,P007_C672,works well (100.0 AP). We then test how well it general-,medium
R00052,P007,Unknown,Unknown,unknown,AP,99.1,99.1,decimal,unknown,unknown,P007_C678,"Despite these changes, our technique performs at 99.1% AP.",medium
R00053,P007,Unknown,Unknown,unknown,AP,100.0,100.0,decimal,unknown,unknown,P007_C679,methods obtain near 100.0 AP). The comparison results are,medium
R00054,P007,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P007_C721,augmentation scheme as Blur+JPEG (0.5) is applied to all,low
R00055,P007,Unknown,Unknown,unknown,AP,93.2,93.2,decimal,unknown,unknown,P007_C739,"curacy and 93.2% AP. With resizing, the model drops to",medium
R00056,P007,Unknown,Unknown,unknown,accuracy,74.9,74.9,decimal,unknown,unknown,P007_C740,"74.9% accuracy and 82.6% AP, still well above chance",medium
R00057,P007,Unknown,Unknown,unknown,accuracy,82.6,82.6,decimal,unknown,unknown,P007_C740,"74.9% accuracy and 82.6% AP, still well above chance",medium
R00058,P007,Unknown,Unknown,unknown,accuracy,0.1,0.1,decimal,JPEG,unknown,P007_C744,Table 6: CycleGAN testcase. We evaluate the uncalibrated accuracy of Blur+JPEG (0.1) model tested on each CycleGAN category. We,medium
R00059,P007,Unknown,Unknown,unknown,accuracy,0.1,0.1,decimal,unknown,unknown,P007_C747,"epochs the validation accuracy does not increase by 0.1%,",medium
R00060,P084,Unknown,Unknown,unknown,unknown,95.85,95.85,decimal,unknown,unknown,P084_C777,deepfake pictures from regular photographs with 95.85%,low
R00061,P084,Unknown,Unknown,unknown,accuracy,97.8,97.8,decimal,unknown,unknown,P084_C785,was employed to improve the accuracy to 97.80%.,medium
R00062,P084,Unknown,Unknown,unknown,accuracy,90.76,90.76,decimal,unknown,unknown,P084_C798,exploration and accuracy upto 90.76%.,medium
R00063,P084,Unknown,Unknown,unknown,unknown,95.85,95.85,decimal,unknown,unknown,P084_C808,"accuracies over the three benchmark datasets as 95.85%,",low
R00064,P084,Unknown,Unknown,unknown,unknown,10.1,10.1,decimal,unknown,unknown,P084_C875,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1,low
R00065,P003,Unknown,Unknown,ImageNet,unknown,1.3,1.3,decimal,unknown,unknown,P003_C886,"ImageNet to generate 1.3 million fake images, which equals the number of real images in ImageNet.",medium
R00066,P003,Unknown,Unknown,unknown,accuracy,99.9,99.9,decimal,unknown,unknown,P003_C897,"exceptional accuracy of 99.9%. However, we observe a substantial performance degradation when",medium
R00067,P003,Unknown,Unknown,unknown,unknown,66.9,66.9,decimal,unknown,unknown,P003_C899,to achieve 66.9%. Our evaluation offers comprehensive insights into the capabilities of the detectors.,low
R00068,P003,Unknown,Unknown,unknown,accuracy,73.6,73.6,decimal,unknown,unknown,P003_C906,"images. The accuracy achieved on the identical-generator testing set was only 73.6%, and even lower",medium
R00069,P003,Unknown,Unknown,LAION,unknown,1.8,1.8,decimal,unknown,unknown,P003_C911,Laion-Art. DiffusionDB [31] is a large-scale gallery dataset with 1.8 million unique prompts.,medium
R00070,P003,Unknown,Unknown,unknown,accuracy,95.0,95.0,decimal,unknown,unknown,P003_C914,"alization capacity, achieving over 95.0% accuracy in",medium
R00071,P022,Unknown,Unknown,unknown,unknown,38.7,38.7,decimal,unknown,unknown,P022_C935,"38.7%. Along with this, we conduct the model capability of AI-Generated images",low
R00072,P022,Unknown,Unknown,unknown,unknown,12.4,12.4,decimal,unknown,unknown,P022_C939,"of photographs in 1826, the global collection of photographs has expanded to an estimated 12.4",low
R00073,P022,Unknown,Unknown,unknown,accuracy,61.3,61.3,decimal,unknown,unknown,P022_C942,"participants achieved an average accuracy of only 61.3%, implying a misclassification rate of 38.7%,",medium
R00074,P022,Unknown,Unknown,unknown,accuracy,38.7,38.7,decimal,unknown,unknown,P022_C942,"participants achieved an average accuracy of only 61.3%, implying a misclassification rate of 38.7%,",medium
R00075,P022,Unknown,Unknown,unknown,accuracy,67.5,67.5,decimal,unknown,unknown,P022_C953,"a relatively high accuracy rate of 67.5%, whereas they can only correctly distinguish real or fake",medium
R00076,P022,Unknown,Unknown,unknown,accuracy,50.8,50.8,decimal,unknown,unknown,P022_C954,from the category Object with a much lower accuracy rate of 50.8%. Our results indicate a significant,medium
R00077,P022,Unknown,Unknown,unknown,accuracy,16.7,16.7,decimal,unknown,unknown,P022_C955,16.7% difference between the accuracy rates of the easiest and most challenging categories. These,medium
R00078,P022,Unknown,Unknown,unknown,accuracy,0.5,0.5,decimal,unknown,unknown,P022_C982,"Based on its highest total average accuracy in MPBench, we select ConvNext-S (B+J 0.5) with",medium
R00079,P022,Unknown,Unknown,unknown,unknown,2.2,2.2,decimal,unknown,unknown,P022_C1050,"We detailed the collection process of our datasets in Section 2.2 of the main paper, now the following",low
R00080,P022,Unknown,Unknown,unknown,accuracy,49.9,49.9,decimal,unknown,unknown,P022_C1069,"collect the accuracy of all the questionnaires, and the accuracy is only 49.9%. This highlights that",medium
R00081,P022,Unknown,Unknown,unknown,unknown,0.1,0.1,decimal,JPEG,unknown,P022_C1104,"HFlip, RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00082,P022,Unknown,Unknown,unknown,unknown,0.1,0.1,decimal,JPEG,unknown,P022_C1104,"HFlip, RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00083,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1105,"HFlip, RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00084,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1105,"HFlip, RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00085,P022,Unknown,Unknown,unknown,unknown,0.1,0.1,decimal,JPEG,unknown,P022_C1110,"HFlip, RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00086,P022,Unknown,Unknown,unknown,unknown,0.1,0.1,decimal,JPEG,unknown,P022_C1110,"HFlip, RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00087,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1111,"HFlip, RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00088,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1111,"HFlip, RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00089,P022,Unknown,Unknown,unknown,unknown,0.1,0.1,decimal,JPEG,unknown,P022_C1115,"HFlip, RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00090,P022,Unknown,Unknown,unknown,unknown,0.1,0.1,decimal,JPEG,unknown,P022_C1115,"HFlip, RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00091,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1116,"HFlip, RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00092,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1116,"HFlip, RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00093,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1119,"HFlip(0.5), RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00094,P022,Unknown,Unknown,unknown,unknown,0.1,0.1,decimal,JPEG,unknown,P022_C1119,"HFlip(0.5), RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00095,P022,Unknown,Unknown,unknown,unknown,0.1,0.1,decimal,JPEG,unknown,P022_C1119,"HFlip(0.5), RandomResizedCrop(224), GaussianBlur(0.1), JPEG(0.1)",low
R00096,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1120,"HFlip(0.5), RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00097,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1120,"HFlip(0.5), RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00098,P022,Unknown,Unknown,unknown,unknown,0.5,0.5,decimal,JPEG,unknown,P022_C1120,"HFlip(0.5), RandomResizedCrop(224), GaussianBlur(0.5), JPEG(0.5)",low
R00099,P026,Unknown,Unknown,unknown,AUC,8.5,8.5,decimal,unknown,unknown,P026_C1145,"terms of mean AUC, reaching up to 8.5%. Furthermore, the standard",medium
R00100,P025,Unknown,Unknown,unknown,accuracy,99.06,99.06,decimal,unknown,unknown,P025_C1161,"state-of-the-art accuracy with the lowest error rate. We achieved 99.06% accuracy, and 0.0569 error rate",medium
